Kiosk ID,Kiosk Name,Region,Status,Latitude,Longitude
3000,Virtual Station,Unknown,Active,0.0,0.0
3005,7th & Flower,DTLA,Active,34.0485,-118.258537
3006,Olive & 8th,DTLA,Active,34.04554,-118.256668
3007,5th & Grand,DTLA,Active,34.05048,-118.254593
3008,Figueroa & 9th,DTLA,Active,34.046612,-118.262733
3010,11th & Maple,DTLA,Active,34.037048,-118.254868
3011,Figueroa & Pico,DTLA,Active,34.041119,-118.26796
3013,Anaheim & Avalon,Port of LA,Inactive,33.779819,-118.263023
3014,Union Station West Portal,DTLA,Active,34.05661,-118.237213
3016,Los Angeles & Temple,DTLA,Active,34.052898,-118.241562
3018,Grand & Olympic,DTLA,Active,34.043732,-118.260139
3019,12th & Hill,DTLA,Active,34.038609,-118.260857
3020,Hill & Washington,DTLA,Active,34.031052,-118.26709
3021,3rd & Rose,DTLA,Inactive,34.045609,-118.23703
3022,3rd & Santa Fe,DTLA,Active,34.04607,-118.233093
3023,1st & Judge John Aiso,DTLA,Inactive,34.050911,-118.240967
3024,Hope & 1st,DTLA,Active,34.05772,-118.24897
3025,Grand & Washington,DTLA,Active,34.03286,-118.268082
3026,Figueroa & Cesar Chavez,DTLA,Active,34.063179,-118.24588
3027,Spring & 3rd,DTLA,Active,34.04998,-118.247162
3028,Grand & Temple,DTLA,Inactive,34.058319,-118.246094
3029,Main & 4th,DTLA,Inactive,34.048851,-118.246422
3030,Main & 1st,DTLA,Active,34.051941,-118.24353
3031,7th & Spring,DTLA,Inactive,34.044701,-118.252441
3032,Hope & 6th,DTLA,Active,34.049889,-118.255882
3033,Main & 9th,DTLA,Active,34.040989,-118.255798
3034,Hope & 11th,DTLA,Active,34.042061,-118.263382
3035,Figueroa & 8th,DTLA,Active,34.048401,-118.260948
3036,Willow St & Mateo St,DTLA,Active,34.039188,-118.232529
3037,Imperial & 7th,DTLA,Active,34.034801,-118.231277
3038,Main & 5th,DTLA,Inactive,34.046822,-118.248352
3040,Wilshire & Witmer,DTLA,Active,34.05357,-118.266357
3042,1st & Central,DTLA,Active,34.049301,-118.238808
3045,18th & San Pedro,DTLA,Active,34.028511,-118.256668
3046,2nd & Hill,DTLA,Active,34.052872,-118.24749
3047,Pico & Flower,DTLA,Active,34.039982,-118.266403
3048,5th & Hewitt,DTLA,Active,34.041691,-118.235352
3049,2nd & Figueroa,DTLA,Active,34.056969,-118.253593
3051,7th & Broadway,DTLA,Inactive,34.045422,-118.253517
